ParticipantID,TrialNumber,LevelDistanceTraveled,grid_distance,human_distance
420,17,9.78,10.3,9.51
420,18,28.27,30.2,27.89
420,19,11.87,10.75,10.83
420,20,12.73,15.66,12.7
420,21,13.68,16.5,13.49
420,22,7.38,9.0,7.14
420,23,7.24,8.6,7.6
420,24,14.6,17.3,14.82
443,1,12.04,14.5,12.18
443,2,25.64,27.76,25.76
443,3,11.05,13.04,10.57
443,4,23.47,28.15,23.88
443,5,10.17,12.4,9.84
443,6,7.76,9.8,7.7
443,7,9.81,12.4,10.45
443,8,15.48,18.4,15.53
443,9,5.04,6.6,4.85
443,10,9.88,11.5,9.76
443,11,7.29,8.4,7.68
443,12,21.41,24.1,20.97
443,13,7.26,8.4,7.42
443,14,12.11,13.8,12.12
443,15,5.75,6.7,4.38
443,16,9.92,10.8,9.86
443,17,7.73,8.5,7.14
443,18,11.79,13.2,11.25
443,19,18.06,20.1,16.74
443,20,13.84,16.3,13.43
443,21,12.09,14.7,12.28
443,22,8.11,9.8,8.35
443,23,12.63,14.4,12.24
443,24,22.93,26.9,22.59
444,1,9.74,11.3,9.96
444,2,5.07,5.9,5.31
444,3,12.01,13.6,11.61
444,4,22.06,24.3,21.11
444,5,6.98,8.4,7.87
444,6,11.86,13.2,12.45
444,7,8.53,8.4,7.6
444,8,10.58,13.4,10.38
444,9,7.45,8.4,7.32
444,10,9.43,10.94,9.11
444,11,8.38,9.84,8.49
444,12,23.08,26.3,23.27
444,13,6.83,8.8,6.46
444,14,11.92,13.8,11.82
444,15,11.57,12.54,10.35
444,16,19.84,23.25,19.99
444,17,9.06,8.5,8.16
444,18,9.28,11.4,9.62
444,19,27.66,31.9,27.72
444,20,23.49,32.23,27.99
444,21,17.2,19.1,17.07
444,22,0.96,5.25,5.75
444,23,12.43,14.4,12.19
444,24,14.56,17.3,13.7
445,1,10.3,11.3,9.41
445,2,5.01,5.9,4.61
445,3,9.73,11.8,8.78
445,4,19.82,21.7,19.16
445,5,5.6,6.04,4.86
445,6,15.9,16.09,14.25
445,7,7.36,8.4,7.36
445,8,4.63,5.6,4.3
445,9,5.9,6.6,4.45
445,10,20.5,28.0,26.24
445,11,7.26,8.4,7.55
445,12,7.51,7.5,7.42
445,13,13.04,13.65,11.49
445,14,19.2,23.03,19.81
445,15,11.34,13.1,10.36
445,16,15.28,17.8,16.43
445,17,10.45,10.3,9.4
445,18,11.88,12.64,11.3
